{delta}	U+03B4	δ	GREEK SMALL LETTER DELTA
{Z %,}	Z,U+0328	Z̨	LATIN CAPITAL LETTER Z + COMBINING OGONEK
{uran}	U+2645	♅	URANUS
{u)}	U+00FB	û	LATIN SMALL LETTER U WITH CIRCUMFLEX
{tau}	U+03C4	τ	GREEK SMALL LETTER TAU
{U/}	U+00DA	Ú	LATIN CAPITAL LETTER U WITH ACUTE
{eta}	U+03B7	η	GREEK SMALL LETTER ETA
{=/}	U+2260	≠	NOT EQUAL TO
{sigma}	U+03C3	σ	GREEK SMALL LETTER SIGMA
{uu}	U+016D	ŭ	LATIN SMALL LETTER U WITH BREVE
{o  /}	U+00F8	ø	LATIN SMALL LETTER O WITH STROKE
{Gv}	U+01E6	Ǧ	LATIN CAPITAL LETTER G WITH CARON
{e-}	U+0113	ē	LATIN SMALL LETTER E WITH MACRON
{%6*-}	U+00F0	ð	LATIN SMALL LETTER ETH
{$2}	-	-	No idea what this does (REMOVE)
{Z.}	U+017B	Ż	LATIN CAPITAL LETTER Z WITH DOT ABOVE
{O-}	U+014C	Ō	LATIN CAPITAL LETTER O WITH MACRON
{/crta}	-	-	Horizontal LINE (REMOVE)
{<}	&lt;	&lt;	LESS-THAN SIGN
{zemlja}	U+2641	♁	EARTH
{U}	U+22C3	⋃	N-ARY UNION
{psi}	U+03C8	ψ	GREEK SMALL LETTER PSI
{%8}	U+221E	∞	INFINITY
{]}	]	]	RIGHT SQUARE BRACKET
{[}	[	[	LEFT SQUARE BRACKET
{O/}	U+00D3	Ó	LATIN CAPITAL LETTER O WITH ACUTE
{z %,}	z,U+0328	z̨	LATIN SMALL LETTER Z + COMBINING OGONEK
{višaj}	U+266F	♯	MUSIC SHARP SIGN
{oev}	=	???	unknown
{o %,}	U+01EB	ǫ	LATIN SMALL LETTER O WITH OGONEK
{nižaj}	U+266D	♭	MUSIC FLAT SIGN
{d,}	U+010F	ď	LATIN SMALL LETTER D WITH CARON
{A\}	U+00C0	À	LATIN CAPITAL LETTER A WITH GRAVE
{-><-}	U+2192,U+2190	→←	RIGHTWARDS ARROW+LEFTWARDS ARROW
{%v}	U+2227	∧	LOGICAL AND
{u}	U+222A	∪	UNION
{Omega}	U+03A9	Ω	GREEK CAPITAL LETTER OMEGA
{AE}	U+00C6	Æ	LATIN CAPITAL LETTER AE
{z/}	U+017A	ź	LATIN SMALL LETTER Z WITH ACUTE
{v}	U+2228	∨	LOGICAL OR
{Sigma}	U+03A3	Σ	GREEK CAPITAL LETTER SIGMA
{(R)}	U+00AE	®	REGISTERED SIGN
{l  /}	U+0142	ł	LATIN SMALL LETTER L WITH STROKE
{koren2}	U+221A,2	√2	SQUARE ROOT+DIGIT TWO
{h -}	U+0127	ħ	LATIN SMALL LETTER H WITH STROKE
{%DELTA}	U+2207	∇	NABLA
{$16}	-	-	No idea what this does (REMOVE)
{?}	-	-	BEFORE fra, NOT PRINTED, REMOVE
{<=}	U+2264	≤	LESS-THAN OR EQUAL TO
{x/}	x,U+0301	x́	LATIN SMALL LETTER X + COMBINING ACUTE ACCENT
{vecji}	&gt;	&gt;	GREATER-THAN SIGN
{OE}	U+0152	Œ	LATIN CAPITAL LIGATURE OE
{ni-}	U+03BD	ν	GREEK SMALL LETTER NU
{N~}	U+00D1	Ñ	LATIN CAPITAL LETTER N WITH TILDE
{moski}	U+2642	♂	MALE SIGN
{L,}	U+013D	Ľ	LATIN CAPITAL LETTER L WITH CARON
{I/}	U+00CD	Í	LATIN CAPITAL LETTER I WITH ACUTE
{i)}	U+00EE	î	LATIN SMALL LETTER I WITH CIRCUMFLEX
{H -}	U+0126	Ħ	LATIN CAPITAL LETTER H WITH STROKE
